Recording	Participant	Timeline	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	31	10630	10813	183			0.08854	0.69339	3.00911										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	35	10813	10863	50						0.23	274.52	478.42	14.32			0.08854	0.69339	0.60293	0.69136
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	32	10863	11262	400			0.60293	0.69136	2.96918										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	36	11262	11279	17						90.3	73.82	73.82	1.15			0.60293	0.69136	0.60254	0.61765
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	33	11279	11362	83			0.60254	0.61765	2.96159										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	37	11362	11412	50						179.91	197.24	288.57	10.13			0.60254	0.61765	0.24259	0.61708
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	34	11412	11529	117			0.24259	0.61708	2.95472										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	38	11529	11579	50						186.3	53.86	63.71	2.93			0.24259	0.61708	0.13637	0.62881
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	35	11579	11712	133			0.13637	0.62881	2.97132										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	39	11712	11762	50						358.83	252.68	448.73	12.74			0.13637	0.62881	0.5907	0.6381
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	36	11762	11962	200			0.5907	0.6381	2.90574										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	40	11962	12012	50						12.77	102.15	146.18	5.4			0.5907	0.6381	0.78524	0.59401
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	37	12012	12128	117			0.78524	0.59401	2.95456										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	41	12128	12178	50						175.74	265.63	595.12	13.3			0.78524	0.59401	0.30846	0.55852
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	38	12178	12395	217			0.30846	0.55852	2.95572										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	42	12395	12445	50						178.5	52.03	58.46	3			0.30846	0.55852	0.20184	0.55573
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	39	12445	12978	533			0.20184	0.55573	2.97166										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	43	12978	13028	50						350.71	277.02	408.28	13.91			0.20184	0.55573	0.69784	0.63684
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	40	13028	13244	217			0.69784	0.63684	3.05104										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	44	13244	13278	33						41.73	47.38	61.89	1.53			0.69784	0.63684	0.7497	0.59059
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	41	13278	13361	83			0.7497	0.59059	3.08422										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	45	13361	13378	17							33.52	33.52				0.7497	0.59059		
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	46	13428	13444	17							704.7	704.7						0.31999	0.56128
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	42	13444	13627	183			0.31999	0.56128	2.97282										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	47	13627	13677	50							129.36	211.63				0.31999	0.56128		
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	48	13694	13744	50							109.79	236.27						0.75806	0.38588
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	43	13744	13994	250			0.75806	0.38588	3.0032										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	49	13994	14044	50						196.12	261.27	635.12	13.23			0.75806	0.38588	0.28539	0.52252
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	44	14044	14260	217			0.28539	0.52252	2.94883										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	50	14260	14310	50						188.98	38.45	42.35	2.03			0.28539	0.52252	0.21146	0.53421
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	45	14310	14460	150			0.21146	0.53421	2.97048										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	51	14460	14477	17						214.24	66.82	66.82	1.57			0.21146	0.53421	0.1573	0.57108
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	46	14477	14560	83			0.1573	0.57108	2.98102										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	52	14560	14627	67						0.85	224.41	402.76	15.33			0.1573	0.57108	0.70932	0.56293
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	47	14627	14810	183			0.70932	0.56293	3.05201										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	53	14810	14843	33						47.12	50.66	61.92	1.94			0.70932	0.56293	0.77467	0.49255
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	48	14843	15593	749			0.77467	0.49255	3.00367										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	54	15593	15643	50							218.39	342.9				0.77467	0.49255		
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	55	15659	15676	17							31.84	31.84						0.34798	0.5144
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	49	15676	15892	217			0.34798	0.5144	2.99717										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	56	15892	15909	17						175.9	50.9	50.9	1.37			0.34798	0.5144	0.29848	0.51086
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	50	15909	16076	167			0.29848	0.51086	2.99559										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	57	16076	16142	67						0.75	184.73	324.5	12.27			0.29848	0.51086	0.74481	0.50498
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	51	16142	16292	150			0.74481	0.50498	3.04267										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	58	16292	16309	17						26.31	32.78	32.78	0.9			0.74481	0.50498	0.77839	0.48837
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	52	16309	16742	433			0.77839	0.48837	3.03869										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	59	16742	16759	17						318.77	148.93	148.93	2.94			0.77839	0.48837	0.8767	0.57452
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	53	16759	17291	533			0.8767	0.57452	3.08007										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	60	17291	17308	17						226.76	122.48	122.48	2.6			0.8767	0.57452	0.795	0.6614
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	54	17308	17458	150			0.795	0.6614	3.05418										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	61	17458	17475	17							38.16	38.16				0.795	0.6614		
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	62	17491	17508	17							558.7	558.7						0.43029	0.63697
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	55	17508	17691	183			0.43029	0.63697	3.02675										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	63	17691	17708	17						200.77	89.53	89.53	1.53			0.43029	0.63697	0.37586	0.65761
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	56	17708	17974	266			0.37586	0.65761	2.96933										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	64	17974	18024	50						0.81	245.21	347.91	12.53			0.37586	0.65761	0.8265	0.65121
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	57	18024	18291	266			0.8265	0.65121	2.97465										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	65	18291	18307	17						214.28	57.16	57.16	0.84			0.8265	0.65121	0.80214	0.66781
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	58	18307	19323	1016			0.80214	0.66781	3.03417										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	66	19323	19373	50						177.21	217.13	323.06	11.21			0.80214	0.66781	0.39542	0.64798
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	59	19373	19557	183			0.39542	0.64798	3.06774										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	67	19557	19573	17						136.02	79.53	79.53	1.33			0.39542	0.64798	0.35531	0.60926
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	60	19573	20040	466			0.35531	0.60926	3.01601										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	68	20040	20056	17						356.24	632.17	632.17	11.78			0.35531	0.60926	0.78337	0.63741
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	61	20056	20356	300			0.78337	0.63741	3.00202										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	69	20356	20373	17							131.08	131.08				0.78337	0.63741		
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	70	20389	20406	17							480.91	480.91						0.38923	0.67651
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	62	20406	20656	250			0.38923	0.67651	2.97725										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	71	20656	20689	33						2.61	342.05	634.89	11.87			0.38923	0.67651	0.81926	0.65691
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	63	20689	20889	200			0.81926	0.65691	2.99538										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	72	20889	20906	17						1.5	40.07	40.07	1.32			0.81926	0.65691	0.87167	0.65553
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	64	20906	21389	483			0.87167	0.65553	3.02256										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	73	21389	21405	17						152.85	66.13	66.13	1.5			0.87167	0.65553	0.82105	0.62957
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	65	21405	22005	600			0.82105	0.62957	3.10059										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	74	22005	22071	67						178.19	176.5	380.43	12.11			0.82105	0.62957	0.38381	0.61578
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	66	22071	22321	250			0.38381	0.61578	3.15365										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	75	22321	22338	17						191.09	38.37	38.37	0.75			0.38381	0.61578	0.35595	0.62124
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	67	22338	23054	716			0.35595	0.62124	3.06479										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	76	23054	23087	33						11.27	140.87	209.5	4.6			0.35595	0.62124	0.52098	0.58836
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	68	23087	23221	133			0.52098	0.58836	3.06575										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	77	23221	23271	50						199.7	86.26	114.96	4.53			0.52098	0.58836	0.36296	0.64496
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	69	23271	23470	200			0.36296	0.64496	3.04879										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	78	23470	23504	33						294.55	40.39	45.3	1.69			0.36296	0.64496	0.40094	0.7281
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Partial	70	23504	24187	683			0.40094	0.7281	3.01101										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	79	24303	24320	17							140.66	140.66							
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	80	24353	24403	50							65.44	82.51							
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	81	24420	24436	17							111.87	111.87							
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	82	24453	24470	17							66.88	66.88						0.85731	0.7312
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	71	24470	24653	183			0.85731	0.7312	3.05777										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	83	24653	24670	17						132.76	38.72	38.72	1.38			0.85731	0.7312	0.81363	0.68397
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	72	24670	24853	183			0.81363	0.68397	3.06667										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	84	24853	24869	17						334.54	107.73	107.73	2			0.81363	0.68397	0.88342	0.7172
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	73	24869	25053	183			0.88342	0.7172	3.04812										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	85	25053	25069	17							442.13	442.13				0.88342	0.7172		
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	86	25086	25103	17							230.63	230.63						0.42261	0.71276
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	74	25103	25386	283			0.42261	0.71276	2.98735										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	87	25386	25402	17						18.06	82.67	82.67	0.95			0.42261	0.71276	0.45636	0.70175
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	75	25402	25536	133			0.45636	0.70175	2.97998										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	88	25536	25586	50						359.25	251.08	409.06	12.56			0.45636	0.70175	0.90841	0.70763
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	76	25586	25885	300			0.90841	0.70763	3.02218										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	89	25885	25902	17						124.95	53.93	53.93	1.18			0.90841	0.70763	0.877	0.66269
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	77	25902	26202	300			0.877	0.66269	2.96708										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	90	26202	26268	67						174.4	192.3	435.54	13.01			0.877	0.66269	0.41159	0.61707
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	78	26268	26801	533			0.41159	0.61707	2.97213										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	91	26801	26851	50						3.55	230.25	414.49	11.76			0.41159	0.61707	0.8313	0.59102
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	79	26851	27035	183			0.8313	0.59102	2.94591										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	92	27035	27051	17						349.13	58.49	58.49	1.36			0.8313	0.59102	0.88326	0.601
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	80	27051	27451	400			0.88326	0.601	2.9559										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	93	27451	27501	50						181.27	274.45	548.04	13.38			0.88326	0.601	0.39965	0.61174
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	81	27501	27951	450			0.39965	0.61174	2.95319										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	94	27951	27967	17						85.04	91.65	91.65	1.74			0.39965	0.61174	0.40924	0.50127
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	82	27967	28217	250			0.40924	0.50127	2.92199										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	95	28217	28284	67						352.99	182.71	345.2	12.41			0.40924	0.50127	0.85377	0.55597
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	83	28284	28434	150			0.85377	0.55597	2.92676										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	96	28434	28450	17						33.78	42.09	42.09	1.05			0.85377	0.55597	0.89169	0.53061
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	84	28450	28983	533			0.89169	0.53061	2.8896										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	97	28983	29033	50						182.17	236.29	366.63	12.6			0.89169	0.53061	0.43661	0.54782
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	85	29033	29316	283			0.43661	0.54782	2.92039										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	98	29316	29333	17						110.86	97.98	97.98	2.5			0.43661	0.54782	0.38541	0.41348
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	86	29333	29699	366			0.38541	0.41348	2.88231										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	99	29699	29733	33						100.13	49.96	57.51	2.24			0.38541	0.41348	0.35993	0.27093
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	87	29733	29866	133			0.35993	0.27093	2.85558										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	100	29866	29899	33						358.86	367.43	687.4	13.21			0.35993	0.27093	0.84788	0.28065
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	88	29899	30449	550			0.84788	0.28065	2.85193										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	101	30449	30465	17						275.58	30.43	30.43	0.88			0.84788	0.28065	0.85374	0.34068
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	89	30465	30615	150			0.85374	0.34068	2.90937										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	102	30615	30632	17							706.63	706.63				0.85374	0.34068		
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Partial	103	30665	30682	17							38.8	38.8						0.3788	0.38712
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	90	30682	30865	183			0.3788	0.38712	3.00251										
Recording1	M	Timeline1	Task1 (1)	1	Task1	Saccade	Whole	104	30865	30898	33						168.3	56.15	79.31	1.84			0.3788	0.38712	0.31134	0.37315
Recording1	M	Timeline1	Task1 (1)	1	Task1	Fixation	Whole	91	30898	31298	400			0.31134	0.37315	2.95317										
